code,name,index_name,methodology_status,methodology_file,source_url,family,rebalance_frequency,rebalance_months,weighting_scheme,weight_cap,required_data,available_data,missing_data
102960,KODEX 기계장비,,missing,,,unknown,unknown,,unknown,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|rule_profile|stock_prices,rule_profile,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
445290,KODEX 로봇액티브,,missing,,,unknown,unknown,,unknown,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|rule_profile|stock_prices,rule_profile,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
244580,KODEX 바이오,FnGuide K-Bio Balanced Index,available,etfs\raw\methodologies\244580_e6ad30e3a9d6.pdf,https://file.fnguide.com/fnindex/files/FnGuide_K-Bio_Balanced_Index_Methodology_Book_(20260306)_v1.0.pdf,equal_weight,quarterly,"5,6,11,12",equal_weighted,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
091160,KODEX 반도체,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\091160_466c302826ee.pdf,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0190G0,KODEX 반도체타겟위클리커버드콜,FnGuide AI Semiconductor TOP3 Plus Price Return Index,available,etfs\raw\methodologies\0190G0_466c302826ee.pdf,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,keyword_theme,quarterly,"3,6,9,12",equal_weighted,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
0080G0,KODEX 방산TOP10,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\0080G0_60b5df44287f.pdf,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
140700,KODEX 보험,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\140700_165a330f5577.pdf,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,dividend,annual,6,equal_weighted,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
385510,KODEX 신재생에너지액티브,FnGuide K-Renewable Energy Plus Index,available,etfs\raw\methodologies\385510_d8afbf8c3e96.pdf,https://file.fnguide.com/fnindex/files/FnGuide_K-Renewable Energy Plus_Index_Methodology_Book_삼성자산운용_(20210122)_v1.0.pdf,keyword_theme,semiannual,"6,12",custom_weighted,,constituent_universe|corporate_actions|custom_index_formula_inputs|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|custom_index_formula_inputs|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
117460,KODEX 에너지화학,Maekyung FnGuide Index Series,available,etfs\raw\methodologies\117460_165a330f5577.pdf,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,dividend,annual,6,equal_weighted,,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
091170,KODEX 은행,FnGuide Bank High Dividend Plus TOP 10 Index,available,etfs\raw\methodologies\091170_8e6e80515440.pdf,https://file.fnguide.com/fnindex/files/FnGuide_Bank_High_Dividend_Plus_TOP_10_Index_Methodology_Book_(20230825)_v1.2.pdf,dividend,semiannual,"6,12",custom_weighted,,constituent_universe|corporate_actions|custom_index_formula_inputs|dividend_data|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices,methodology_pdf|rule_profile,constituent_universe|corporate_actions|custom_index_formula_inputs|dividend_data|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
091180,KODEX 자동차,FnGuide Sector Coverage Index Series,available,etfs\raw\methodologies\091180_bf7dfdb2d9c3.pdf,https://file.fnguide.com/fnindex/files/FnGuide_Sector_Coverage_Index_Series_Methology_Book_미래_(20190701)_v2.3.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|rule_profile|stock_prices,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices
0115D0,KODEX 조선TOP10,FnGuide Size/Style Index Series,available,etfs\raw\methodologies\0115D0_60b5df44287f.pdf,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,dividend,semiannual,"6,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|dividend_data|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
102970,KODEX 증권,FnGuide Sector Coverage Index Series,available,etfs\raw\methodologies\102970_bf7dfdb2d9c3.pdf,https://file.fnguide.com/fnindex/files/FnGuide_Sector_Coverage_Index_Series_Methology_Book_미래_(20190701)_v2.3.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,25%,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|rule_profile|stock_prices,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices
117680,KODEX 철강,,missing,,,unknown,unknown,,unknown,,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|rule_profile|stock_prices,rule_profile,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
445150,KODEX 친환경조선해운액티브,FnGuide Shipbuilding & Shipping Industry Index,available,etfs\raw\methodologies\445150_15a11657b61c.pdf,https://file.fnguide.com/fnindex/files/FnGuide_Shipbuilding_&_Shipping_Sector_Index_Methodology_Book_NHAmundi_(20220727)_v1.2.pdf,sector_theme,quarterly,"5,6,11,12",float_market_cap_weighted,,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|methodology_pdf|ranking_inputs|rule_profile|stock_prices|trading_value_liquidity,methodology_pdf|rule_profile,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
