code,name,status,source_url,page_url,file_path,sha256,bytes,query,error,provider,index_name,source_type,confidence
300950,KODEX 게임산업,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Game_Sector_Index_Methodology_Book_삼성_(20190701)_v1.6.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.GMS,etfs\raw\methodologies\300950_1e987e725fc3.pdf,1e987e725fc3e8f89d02c99e4732da0c8491a8839eff2b43b784d2bc23796fb5,935445,fnindex_catalog,,fnguide,FnGuide 게임 산업,methodology_pdf,high
266390,KODEX 경기소비재,downloaded,https://file.fnguide.com/fnindex/files/Maekyung_FnGuide_Index_Series_(20210729)_v2.9.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.25,etfs\raw\methodologies\266390_165a330f5577.pdf,165a330f5577e5da11338b203aee7501dae23e22197e4e1c89d0c612632989bd,3014422,fnindex_catalog,,fnguide,MKF 경기소비재,methodology_pdf,high
0089D0,KODEX 금융고배당TOP10,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.T10,etfs\raw\methodologies\0089D0_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,fnindex_catalog,,fnguide,FnGuide TOP10,methodology_pdf,high
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.T10,etfs\raw\methodologies\498410_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,fnindex_catalog,,fnguide,FnGuide TOP10,methodology_pdf,high
102960,KODEX 기계장비,not_found,,,,,0,,no methodology pdf candidate found,fnguide,,fnindex_search,low
445290,KODEX 로봇액티브,not_found,,,,,0,,no methodology pdf candidate found,fnguide,,fnindex_search,low
244580,KODEX 바이오,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Bio_Balanced_Index_Methodology_Book_(20260306)_v1.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HDB,etfs\raw\methodologies\244580_e6ad30e3a9d6.pdf,e6ad30e3a9d61b8cc24ea15e628c912757134ec76670b5ab65cb59dd0f770e98,1816443,fnindex_catalog,,fnguide,FnGuide K-바이오 밸런스드 지수,methodology_pdf,high
091160,KODEX 반도체,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\091160_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
0190G0,KODEX 반도체타겟위클리커버드콜,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_AI_Semiconductor_TOP3_Plus_Price_Return_Index_Methodology_Book_(20230920)_v1.5.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HBM,etfs\raw\methodologies\0190G0_466c302826ee.pdf,466c302826eef2a3e0f92b81ad26848368b2f87a0b9d363a2505eef955df1358,1469278,fnindex_catalog,,fnguide,FnGuide AI 반도체 TOP3+ 지수,methodology_pdf,high
0080G0,KODEX 방산TOP10,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_SizeStyle_Index_Series_Methodology_Book_미래_(20260203)_v2.0.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.T10,etfs\raw\methodologies\0080G0_60b5df44287f.pdf,60b5df44287f33dde98cf9d724b7b6cc49b9161e513b994db9ae305797034944,939494,fnindex_catalog,,fnguide,FnGuide TOP10,methodology_pdf,high
