strategy_id,op_rrg_mode,stock_score,compression,confirm,cagr,mdd,sharpe,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count,output_dir
rrg_op_rrg_grid_base_op12_k1_flow_momo,base,op12,k1,flow_momo,0.5702353372379019,-0.42405677308330814,1.2959533232385994,15.752176743245947,1570385363.825406,0.5974025974025974,0.5584415584415584,0.34760495744717035,9.958639092728486,10.0,15.0,23,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_op12_k1_flow_momo_20260618_174509
rrg_op_rrg_grid_ex10_op12_k1_flow,ex10,op12,k1,flow,0.5275634881962754,-0.3313591393306049,1.2768060340905114,12.992702641147785,1514736024.2344704,0.6233766233766234,0.5454545454545454,0.3157208992933063,10.41694462975317,10.0,16.0,25,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k1_flow_20260618_175006
rrg_op_rrg_grid_base_qavg_k2_momo,base,qavg,k2,momo,0.8792341500935548,-0.35716952226514675,1.2294613642048102,49.65715143030191,2638874829.74447,0.6753246753246753,0.6233766233766234,0.33836577435127296,14.112618724559024,14.0,22.0,29,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k2_momo_20260618_174019
rrg_op_rrg_grid_base_qavg_k1_momo,base,qavg,k1,momo,0.9425043209082538,-0.49058708916752625,1.2157859616095936,61.17409895358157,3417230570.45984,0.6493506493506493,0.5974025974025974,0.3503760460884708,10.07055630936228,10.0,15.0,20,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k1_momo_20260618_174145
rrg_op_rrg_grid_ex10_qavg_k2_flow_momo,ex10,qavg,k2,flow_momo,0.752373011805743,-0.25053091501081526,1.1895060274925828,31.785154331131388,1729771424.423393,0.6103896103896104,0.5454545454545454,0.35059361537042943,11.457259158751697,11.0,19.0,30,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k2_flow_momo_20260618_174630
rrg_op_rrg_grid_ex10_qavg_k1_flow_momo,ex10,qavg,k1,flow_momo,0.7681567232889199,-0.33296655583365753,1.1797673752314153,33.65445653173592,1928398762.336169,0.5714285714285714,0.5064935064935064,0.35921666113124817,8.464721845318861,8.0,13.0,19,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k1_flow_momo_20260618_174752
rrg_op_rrg_grid_base_qavg_k1_flow_momo,base,qavg,k1,flow_momo,0.8483088504712759,-0.4736704367108754,1.1644137402383414,44.590336165282864,2536942045.393474,0.6363636363636364,0.5714285714285714,0.35687617185363935,8.951153324287652,9.0,14.0,19,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k1_flow_momo_20260618_174204
rrg_op_rrg_grid_ex10_qavg_k2_momo,ex10,qavg,k2,momo,0.7252918022800889,-0.33239825527418354,1.1605035168194473,28.854367664137094,1555198765.8686843,0.5844155844155844,0.5584415584415584,0.3469683972879926,13.335820895522389,13.0,21.0,38,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k2_momo_20260618_174612
rrg_op_rrg_grid_base_qavg_k2_flow_momo,base,qavg,k2,flow_momo,0.7861584115036417,-0.48756117804837884,1.1277847482145618,35.896444970790284,1946686464.5099504,0.6753246753246753,0.5454545454545454,0.3457827230526601,12.12550881953867,12.0,19.0,28,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-base_qavg_k2_flow_momo_20260618_174038
rrg_op_rrg_grid_ex10_qavg_k1_momo,ex10,qavg,k1,momo,0.7408381948268745,-0.5515257111002059,1.112617267414303,30.558004424070315,1734500045.4474254,0.5584415584415584,0.5584415584415584,0.3568906068442783,9.527815468113976,10.0,14.0,22,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_qavg_k1_momo_20260618_174733
rrg_op_rrg_grid_ex10_op12_k1_flow_momo,ex10,op12,k1,flow_momo,0.4300846072164266,-0.35058391940090017,1.0623282983064977,8.394645015439538,880674389.7642841,0.5974025974025974,0.5194805194805194,0.35249821912042484,9.370493991989319,9.0,14.0,24,C:\Users\CHECK\Documents\GitHub\shquants\results\backtests\rrg-op-rrg-grid-ex10_op12_k1_flow_momo_20260618_175047
