code,name,product_family,coverage_provider,provider_status,source_candidate,source_kind,confidence,next_action
205720,ACE 일본TOPIX인버스(합성 H),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
469160,ACE 일본반도체,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
356540,ACE 종합채권(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
447430,ACE 주주환원가치주액티브,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
416090,ACE 중국과창판STAR50,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
168580,ACE 중국본토CSI300,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
219900,ACE 중국본토CSI300레버리지(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
272910,ACE 중장기국공채액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0087F0,ACE 차이나AI빅테크TOP2+액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
371870,ACE 차이나항셍테크,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
380340,ACE 코리아AI테크핵심산업,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
496120,ACE 코리아밸류업,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
354500,ACE 코스닥150,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
305050,ACE 코스피,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
457480,ACE 테슬라밸류체인액티브,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
469170,ACE 포스코그룹포커스,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
466810,BNK 2차전지양극재,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
457930,BNK 미래전략기술액티브,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
487750,BNK 온디바이스AI,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
445690,BNK 주주가치액티브,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0120J0,BNK 카카오그룹포커스,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
486240,DAISHIN343 AI반도체&인프라액티브,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
434960,DAISHIN343 K200,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
0189Z0,DAISHIN343 금융&지주고배당,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
0174J0,DAISHIN343 오피스리츠플러스,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
0098Z0,FOCUS 200,foreign_or_global,,,krx,methodology_provider,medium,build_krx_methodology_probe
0176P0,FOCUS AI반도체위클리고정커버드콜,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
448570,FOCUS AI코리아액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
285690,FOCUS ESG리더스,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0073X0,FOCUS 알리바바미국채커버드콜혼합,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
293180,HANARO 200,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
407310,HANARO 200 TOP10,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
332930,HANARO 200TR,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
304780,HANARO 200선물레버리지,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
306520,HANARO 200선물인버스,fixed_income_cash_commodity_or_derivative,,,krx,methodology_provider,medium,build_krx_methodology_probe
0123S0,HANARO 26-12 은행채(AA+이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0091M0,HANARO 27-06 회사채(AA-이상)액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
448490,HANARO 32-10 국고채액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
454320,HANARO CAPEX설비투자iSelect,domestic_group_or_theme,,,iselect,methodology_provider,medium,build_iselect_methodology_probe
395290,HANARO Fn K-POP&미디어,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
395280,HANARO Fn K-게임,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
368190,HANARO Fn K-뉴딜디지털플러스,domestic_group_or_theme,,,fnguide,methodology_provider,medium,build_fnguide_methodology_probe
402460,HANARO Fn K-메타버스MZ,domestic_group_or_theme,,,fnguide,methodology_provider,medium,build_fnguide_methodology_probe
395270,HANARO Fn K-반도체,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
438900,HANARO Fn K-푸드,domestic_group_or_theme,,,fnguide,methodology_provider,medium,build_fnguide_methodology_probe
367740,HANARO Fn5G산업,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
407300,HANARO Fn골프테마,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
381560,HANARO Fn전기&수소차,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
441540,HANARO Fn조선해운,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
381570,HANARO Fn친환경에너지,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
479850,HANARO K-뷰티,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
453060,HANARO KOFR금리액티브(합성),fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
304760,HANARO KRX300,domestic_broad_market,,,krx,methodology_provider,medium,build_krx_methodology_probe
322410,HANARO K고배당,domestic_factor_dividend_or_value,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
0155N0,HANARO K휴머노이드테마TOP10,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
332940,HANARO MSCI Korea TR,foreign_or_global,,,msci,methodology_provider,medium,build_msci_methodology_probe
322400,HANARO e커머스,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
473640,HANARO 글로벌금채굴기업,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
354350,HANARO 글로벌럭셔리S&P(합성),foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
461340,HANARO 글로벌생성형AI액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
424460,HANARO 글로벌워터MSCI(합성),foreign_or_global,,,msci,methodology_provider,medium,build_msci_methodology_probe
401590,HANARO 글로벌탄소배출권선물ICE(합성),foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
0040S0,HANARO 글로벌피지컬AI액티브,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
314700,HANARO 농업융복합산업,domestic_group_or_theme,,,issuer_or_domestic_index_provider,methodology_provider,low,research_issuer_or_domestic_index_provider_sources
486830,HANARO 머니마켓액티브,fixed_income_cash_commodity_or_derivative,,,fixed_income_or_commodity_provider,methodology_provider,low,research_fixed_income_or_commodity_provider_sources
0181B0,HANARO 미국AI메모리반도체TOP4+,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
432840,HANARO 미국S&P500,foreign_or_global,,,sp_global,methodology_provider,medium,build_sp_global_methodology_probe
498050,HANARO 바이오코리아액티브,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
476260,HANARO 반도체핵심공정주도주,domestic_sector,fnguide,downloaded,fnguide,methodology_provider,high,continue_fnguide_pipeline
434730,HANARO 원자력iSelect,domestic_group_or_theme,,,iselect,methodology_provider,medium,build_iselect_methodology_probe
0082F0,HANARO 유럽방산,foreign_or_global,,,global_index_provider,methodology_provider,low,research_global_index_provider_sources
