date,mfbt gross excess,mfbt costed excess,origin gross excess,origin costed excess,origin minus mfbt gross,origin minus mfbt costed
2024-11-30,0.0013502904755431366,0.0011521712306294951,-0.0015483193025280784,-0.0016678286615426918,-0.002895576470543171,-0.0028177374330365934
2024-12-31,-0.0007697620448978704,-0.0009786988392606055,0.002360918806090462,0.002220376293580628,0.0031339439892066334,0.0032030337246897744
2025-01-31,-0.0031399697891190126,-0.003310221207443176,-0.0032833287362957764,-0.0034581327825846664,-0.0001458874634002738,-0.00015024217080672475
2025-02-28,-0.0009458668271595805,-0.0010737205804061123,-0.0009734881242516868,-0.0011268191244360182,-3.0461763369182826e-05,-5.600669603467168e-05
2025-03-31,0.0009206489320223721,0.0007985268755763553,-0.0038116037200141006,-0.003974483193649014,-0.0047308060393174145,-0.004772192945210252
2025-04-30,-0.0008069804578024753,-0.0008879241487294021,0.0011584575329832703,0.0010305954379312698,0.0019650539549189716,0.0019182653965335028
2025-05-31,-0.0025306380442313703,-0.0027308313771289283,0.00017589876620172085,3.431625477179345e-05,0.0027089303214051785,0.0027682275844671533
2025-06-30,0.0017401966656129808,0.0015274877742370574,0.0016941155942915564,0.0015781822789124877,-4.913238584247637e-05,4.7244272896262984e-05
2025-07-31,-0.0013803016667360835,-0.001532221354292207,-0.0008536257329513353,-0.0009540516604381599,0.0005262463653739058,0.0005778852263638168
2025-08-31,0.000777451393627171,0.0006563586013348388,-0.0027646149139739506,-0.0028643227867474197,-0.0035397234729058757,-0.003518793909216611
2025-09-30,0.0006903338074908394,0.0005802909795735722,0.0009361339632332211,0.0008474614837536976,0.0002452578383980164,0.00026658061566675606
2025-10-31,0.0036437140912368715,0.003520695398606666,-1.0782179639123868e-06,-7.87934336399232e-05,-0.0036347004058872034,-0.0035899612318337493
2025-11-30,-0.0028772932992991995,-0.0030382259481385177,-0.0025528749242067494,-0.0026840773488852054,0.0003232514867810288,0.00035297824784397136
2025-12-31,0.0020014329966671074,0.0018488423110449848,0.005688569514401998,0.005519139833960018,0.0036787485790434893,0.0036624566727927466
2026-01-31,0.0028090791106663016,0.0027005793145111756,0.006470272737346461,0.006347380444015949,0.0036493910889190406,0.003635346848733123
2026-02-28,0.001970556438581461,0.0018441429799493925,0.0028086691559445764,0.002684886193490277,0.0008310379391833767,0.000833696384396676
2026-03-31,-0.002881997504567635,-0.0030216560489666477,-0.0017113073548047364,-0.0018634134947803638,0.0011734761517412373,0.0011611263887729706
