date,mfbt_emp008_70bp_36m_sum_abs_active_weight,mfbt_emp008_70bp_36m_active_share,mfbt_emp008_70bp_36m_sum_abs_active_weight_pct,mfbt_emp008_70bp_36m_active_share_pct,origin_emp008_sum_abs_active_weight,origin_emp008_active_share,origin_emp008_sum_abs_active_weight_pct,origin_emp008_active_share_pct
2025-03-31,0.1415586975166959,0.07077934875834793,14.15586975166959,7.077934875834793,0.1307846798492131,0.06539233992460655,13.07846798492131,6.539233992460655
2025-04-30,0.1508145135327964,0.07540725676639821,15.08145135327964,7.540725676639822,0.138946364737372,0.06947318236868599,13.8946364737372,6.9473182368686
2025-05-30,0.1470386569748733,0.07351932848743664,14.70386569748733,7.351932848743664,0.1371015125319768,0.0685507562659884,13.71015125319768,6.855075626598841
2025-06-30,0.1371478381258201,0.06857391906291004,13.71478381258201,6.857391906291004,0.12915144196697,0.064575720983485,12.915144196697,6.457572098348501
2025-07-31,0.117376363490637,0.05868818174531851,11.7376363490637,5.868818174531851,0.1325264705797029,0.06626323528985145,13.25264705797029,6.626323528985145
2025-08-29,0.1239269303234181,0.06196346516170907,12.39269303234181,6.196346516170907,0.1292588651921572,0.0646294325960786,12.92588651921572,6.462943259607861
2025-09-30,0.1502176387375066,0.07510881936875329,15.02176387375066,7.510881936875329,0.1275853607149325,0.06379268035746626,12.75853607149325,6.379268035746626
2025-10-31,0.1527677101456813,0.07638385507284064,15.27677101456813,7.638385507284064,0.1265040487529106,0.06325202437645529,12.65040487529106,6.325202437645529
2025-11-28,0.1368329843087769,0.06841649215438846,13.68329843087769,6.841649215438846,0.1387966249994538,0.06939831249972692,13.87966249994538,6.939831249972691
2025-12-30,0.1101237916245939,0.05506189581229697,11.01237916245939,5.506189581229697,0.1501599929607884,0.07507999648039422,15.01599929607884,7.507999648039422
2026-01-30,0.1243334378213962,0.06216671891069808,12.43334378213961,6.216671891069807,0.1478181042111429,0.07390905210557146,14.78181042111429,7.390905210557146
2026-02-27,0.1094692210928291,0.05473461054641455,10.94692210928291,5.473461054641455,0.1179376749138625,0.05896883745693127,11.79376749138625,5.896883745693127
2026-03-31,0.117764140320983,0.05888207016049148,11.77641403209829,5.888207016049147,0.1392839589633787,0.06964197948168933,13.92839589633787,6.964197948168933
