code,name,is_domestic_sector,classification_reason,product_family,coverage_provider,provider_status,expansion_lane,next_action
273140,KODEX 단기변동금리부채권액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
153130,KODEX 단기채권,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
214980,KODEX 단기채권PLUS,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
487950,KODEX 대만테크고배당다우존스,False,no_sector_keyword,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
122630,KODEX 레버리지,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
445290,KODEX 로봇액티브,True,domestic_sector_keyword,domestic_sector,fnguide,not_found,fnguide_reference,resolve_fnguide_methodology_gap
488770,KODEX 머니마켓액티브,False,non_equity_or_derivative,fixed_income_cash_commodity_or_derivative,,,future_product_family,classify_index_provider_after_family_selection
321410,KODEX 멀티에셋하이인컴(H),False,no_sector_keyword,asset_allocation_or_tdf,,,future_product_family,classify_index_provider_after_family_selection
337120,KODEX 멀티팩터,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
401470,KODEX 메타버스액티브,False,no_sector_keyword,domestic_group_or_theme,,,future_product_family,classify_index_provider_after_family_selection
244620,KODEX 모멘텀Plus,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
275280,KODEX 모멘텀주,False,no_sector_keyword,domestic_factor_dividend_or_value,,,future_product_family,classify_index_provider_after_family_selection
308620,KODEX 미국10년국채선물,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0091C0,KODEX 미국10년국채액티브(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
484790,KODEX 미국30년국채액티브(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
304660,KODEX 미국30년국채울트라선물(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
304670,KODEX 미국30년국채울트라선물인버스(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
481060,KODEX 미국30년국채타겟커버드콜(합성 H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0173Y0,KODEX 미국AI광통신네트워크,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0151S0,KODEX 미국AI반도체TOP3플러스,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0041D0,KODEX 미국AI소프트웨어TOP10,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
487230,KODEX 미국AI전력핵심인프라,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
485540,KODEX 미국AI테크TOP10,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
483280,KODEX 미국AI테크TOP10타겟커버드콜,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
428560,KODEX 미국ETF산업Top10 Indxx,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
379800,KODEX 미국S&P500,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
449180,KODEX 미국S&P500(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
453660,KODEX 미국S&P500경기소비재,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
453650,KODEX 미국S&P500금융,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0005A0,KODEX 미국S&P500데일리커버드콜OTM,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0026E0,KODEX 미국S&P500버퍼3월액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0068M0,KODEX 미국S&P500버퍼6월액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0089C0,KODEX 미국S&P500변동성확대시커버드콜,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
200030,KODEX 미국S&P500산업재(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
219480,KODEX 미국S&P500선물(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0041E0,KODEX 미국S&P500액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
218420,KODEX 미국S&P500에너지(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
463640,KODEX 미국S&P500유틸리티,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
463690,KODEX 미국S&P500커뮤니케이션,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
463680,KODEX 미국S&P500테크놀로지,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
453630,KODEX 미국S&P500필수소비재,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
453640,KODEX 미국S&P500헬스케어,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
185680,KODEX 미국S&P바이오(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0028X0,KODEX 미국금융테크액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
379810,KODEX 미국나스닥100,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
449190,KODEX 미국나스닥100(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
494300,KODEX 미국나스닥100데일리커버드콜OTM,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
409820,KODEX 미국나스닥100레버리지(합성 H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
304940,KODEX 미국나스닥100선물(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
409810,KODEX 미국나스닥100선물인버스(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
411420,KODEX 미국나스닥AI테크액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
455030,KODEX 미국달러SOFR금리액티브(합성),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
261240,KODEX 미국달러선물,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
261250,KODEX 미국달러선물레버리지,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
261270,KODEX 미국달러선물인버스,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
261260,KODEX 미국달러선물인버스2X,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0144M0,KODEX 미국드론UAM TOP10,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
280930,KODEX 미국러셀2000(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
0048J0,KODEX 미국머니마켓액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
390390,KODEX 미국반도체,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
489250,KODEX 미국배당다우존스,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
483290,KODEX 미국배당다우존스타겟커버드콜,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
441640,KODEX 미국배당커버드콜액티브,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
352560,KODEX 미국부동산리츠(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
314250,KODEX 미국빅테크10(H),False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
473460,KODEX 미국서학개미,False,foreign_exposure,foreign_or_global,,,future_product_family,classify_index_provider_after_family_selection
