code,name,status,source_url,page_url,file_path,sha256,bytes,query,error,provider,index_name,source_type,confidence
387280,TIGER 퓨처모빌리티액티브,downloaded,,,etfs\output\methodologies\387280_03472677893e.pdf,03472677893e9733866443a8637a2b188301e8d9decaeda12a744dcfdb06252a,651241,existing_cache,,fnguide,,methodology_pdf_cache,high
253290,RISE 헬스케어채권혼합,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Healthcare_Balanced_Index_Methodology_Book_KB_(20190701)_v2.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.MIX.05,etfs\output\methodologies\253290_391d25c94326.pdf,391d25c943262d421dbe22ce3d9df19d0fbe22b02c5d0290e43600cc387af8b1,848604,fnindex_catalog,,fnguide,FnGuide 헬스케어 채권혼합,methodology_pdf,high
491510,파워 K-주주가치액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Shareholder_Value_Index_Methodology_Book_(20240624)_v1.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KAV,etfs\output\methodologies\491510_3dcfffc116a2.pdf,3dcfffc116a2e9fbd6dc64f8cdf4f81a0dba011dc923c7118cb334ce65539298,1352499,fnindex_catalog,,fnguide,FnGuide K-주주가치 지수,methodology_pdf,high
244620,KODEX 모멘텀Plus,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Momentum_Index_Methodology_Book_미래_(20190701)_v2.4.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.MMT,etfs\output\methodologies\244620_973fb7868147.pdf,973fb78681478a1115c321b8557a0f9f3526b86447e907048867d4aabfbc5e25,752614,fnindex_catalog,,fnguide,FnGuide 모멘텀,methodology_pdf,high
410870,TIME K컬처액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_K-Culture_Methodology_Book_타임폴리오자산운용_(20210930)_v1.02.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.TKC,etfs\output\methodologies\410870_7bd767b77e2a.pdf,7bd767b77e2a09e0154756e40014ab419cc8bf5f58c7e7ab4d61f026a2836b2a,1650958,fnindex_catalog,,fnguide,FnGuide K-컬처 지수,methodology_pdf,high
373490,KODEX 코리아혁신성장액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_KOREA_High_Dividend_Methodology_Book_(20251201)_v1.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.KRD,etfs\output\methodologies\373490_e6f5d77736ff.pdf,e6f5d77736ffa052d608443d976a286f1800033717e059a592b841a8a9b2f2ad,1114854,fnindex_catalog,,fnguide,FnGuide 코리아 고배당 지수,methodology_pdf,high
280920,PLUS 주도업종,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_Leading_Industry_Index_Methodology_Book_한화_(20190701)_v1.3.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.HCY,etfs\output\methodologies\280920_6f41829cd366.pdf,6f41829cd3662911684502adafe635cd81c055191de581c7ef4a7519fb5e082a,1790734,fnindex_catalog,,fnguide,FnGuide 주도업종,methodology_pdf,high
447660,PLUS 애플채권혼합,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_APPLE_Balanced_Index_Methodology_Book_(20220907)_v1.1.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.MIX.HAP,etfs\output\methodologies\447660_8319467896a0.pdf,8319467896a0aa3d13520cb617f9648a19da285df9617f6fcdd782587a51f644,577776,fnindex_catalog,,fnguide,FnGuide 애플채권혼합 지수,methodology_pdf,high
0153P0,ACE 리츠부동산인프라액티브,downloaded,https://file.fnguide.com/fnindex/files/FnGuide_REITs_Real_Estate_Infrastructure_Index_Methodology_Book_(20230322)_v2.2.pdf,https://www.fnindex.co.kr/overview/detail/I/FI00.WLT.MRD,etfs\output\methodologies\0153P0_96b3c73fc9df.pdf,96b3c73fc9df1282dc2972c1b3810f8877897cd1f2bf90b98b9fbaaab5ac2390,896239,fnindex_catalog,,fnguide,FnGuide 리츠부동산인프라 지수,methodology_pdf,high
487750,BNK 온디바이스AI,downloaded,,,etfs\output\methodologies\487750_d51284e3ed0e.pdf,d51284e3ed0e2438e51c0a3d78238a819cdcf9ab4bb0893486f256d754825b60,1451141,existing_cache,,fnguide,,methodology_pdf_cache,high
