code,name,index_name,methodology_status,methodology_file,family,rebalance_frequency,rebalance_months,weighting_scheme,readiness,next_action,missing_data
385520,KODEX 자율주행액티브,,missing,,unknown,unknown,,unknown,blocked_missing_pdf,find_fnguide_methodology_pdf,constituent_universe|corporate_actions|krx_trading_calendar|listed_shares|methodology_pdf_missing|stock_prices
395290,HANARO Fn K-POP&미디어,FnGuide K-POP & Media Index,available,etfs\output\methodologies\395290_48ffa5d26b80.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
241390,RISE V&S셀렉트밸류채권혼합,FnGuide Select Value Balanced Index,available,etfs\output\methodologies\241390_a76561f8086e.pdf,equal_weight,semiannual,"5,11",market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices
0152E0,SOL 배당성향탑픽액티브,FnGuide Dividend Payout Top Picks,available,etfs\output\methodologies\0152E0_3f477e56e128.pdf,dividend,unknown,"1,2,4,5,7,8,10,11",float_market_cap_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
145850,TREX 펀더멘탈 200,FnGuide-RAFI Korea Index Series,available,etfs\output\methodologies\145850_71da2faa0706.pdf,dividend,annual,6,fundamental_float_adjusted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|dividend_data|free_float_ratio|fundamental_factors|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
0150K0,KoAct 수소전력ESS인프라액티브,FnGuide Hydrogen Power ESS Infra Index,available,etfs\output\methodologies\0150K0_57af2cacda3c.pdf,equal_weight,semiannual,"6,12",equal_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
388280,RISE K엔터&여행레저,FnGuide K-Entertainment & Travel Leisure Index,available,etfs\output\methodologies\388280_8bf34ee452fc.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
0104G0,PLUS K방산레버리지,FnGuide Secondary Battery Industry Leverage Index TR,available,etfs\output\methodologies\0104G0_1ea7f5ede368.pdf,theme,semiannual,"5,11",market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|free_float_ratio|krx_trading_calendar|listed_shares|market_cap|stock_prices
367740,HANARO Fn5G산업,FnGuide 5G Industry Index,available,etfs\output\methodologies\367740_b31513bf9d04.pdf,keyword_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
368190,HANARO Fn K-뉴딜디지털플러스,FnGuide K-NewDeal Digital Plus Index,available,etfs\output\methodologies\368190_65a4282dd972.pdf,sector_theme,semiannual,"6,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
300950,KODEX 게임산업,FnGuide Game Industry Index,available,etfs\output\methodologies\300950_1e987e725fc3.pdf,sector_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_core_market_data,load_core_market_and_calendar_data,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices
337120,KODEX 멀티팩터,FnGuide Multi-Factor Index,available,etfs\output\methodologies\337120_256ce8ee50d6.pdf,top_n_theme,quarterly,"4,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|ranking_inputs|score_inputs|stock_prices
385600,ACE 2차전지&친환경차액티브,FnGuide Secondary Battery Industry Index,available,etfs\output\methodologies\385600_8ae0b61a17ae.pdf,keyword_theme,quarterly,"3,6,9,12",score_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|score_inputs|stock_prices|trading_value_liquidity
479850,HANARO K-뷰티,FnGuide K-Beauty Index,available,etfs\output\methodologies\479850_60faea437008.pdf,keyword_theme,quarterly,"5,6,11,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|fics_industry_classification|free_float_ratio|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices|trading_value_liquidity
445690,BNK 주주가치액티브,FnGuide K-Shareholder Value Index,available,etfs\output\methodologies\445690_3dcfffc116a2.pdf,sector_theme,semiannual,"5,11",custom_weighted,needs_dividend_or_custom_data,collect_dividend_and_custom_formula_inputs,constituent_universe|corporate_actions|custom_index_formula_inputs|fics_industry_classification|free_float_ratio|futures_options_expiry_calendar|krx_trading_calendar|listed_shares|market_cap|stock_prices|trading_value_liquidity
387280,TIGER 퓨처모빌리티액티브,FnGuide Fuel Cell Electric Future Mobility Index,available,etfs\output\methodologies\387280_03472677893e.pdf,keyword_theme,semiannual,"6,12",float_market_cap_weighted,needs_external_model_data,collect_theme_keyword_and_score_inputs,constituent_universe|corporate_actions|free_float_ratio|futures_options_expiry_calendar|keyword_source_documents|krx_trading_calendar|listed_shares|market_cap|ranking_inputs|stock_prices
