code,name,product_family,source_confidence,index_name_candidates,methodology_probe,methodology_url_candidates,next_action
0005C0,RISE 미국S&P500엔화노출(합성 H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
460660,RISE 미국S&P배당킹,foreign_or_global,medium,S&P Dividend Kings,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-dividend-kings-index.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
219390,RISE 미국S&P원유생산기업(합성 H),foreign_or_global,medium,S&P Oil & Gas Exploration & Production Select Industry,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-select-industry-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
433330,SOL 미국S&P500,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
399110,SOL 미국S&P500ESG,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
0080X0,SOL 미국S&P500미국채혼합50,foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
499150,SOL 미국S&P500엔화노출(H),foreign_or_global,medium,S&P 500,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
400580,SOL 유럽탄소배출권선물S&P(H),foreign_or_global,medium,S&P GSCI Carbon Emission Allowances,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-gsci.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
269370,TIGER S&P글로벌인프라(합성),foreign_or_global,medium,S&P Global Infrastructure,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-thematic-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
248270,TIGER S&P글로벌헬스케어(합성),foreign_or_global,medium,S&P 500 Sector,spglobal_methodology_library,https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-us-indices.pdf|https://www.spglobal.com/spdji/en/documents/methodologies/methodology-index-math.pdf,probe_spglobal_methodology_library
