strategy_id,id,score_mode,event_mode,flow_gate,construction_mode,risk_mode,cagr,mdd,sharpe,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count,output_dir,robust_score
signal_event_rotation_sev_accel_accel_inst_k1_ls03,sev_accel_accel_inst_k1_ls03,accel,accel,inst,k1,ls03,0.1955352256418259,-0.5127818191406771,0.8187403686406846,2.0102953727341553,276489050.8166252,0.4805194805194805,0.4805194805194805,0.20616902502730516,4.451536643026005,4.0,7.0,10,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_accel_accel_inst_k1_ls03_20260618_221606,0.9304709994044875
signal_event_rotation_sev_accel_new_high_inst_k3_ls02,sev_accel_new_high_inst_k3_ls02,accel,new_high,inst,k3,ls02,0.17523472610527513,-0.5233953778266472,0.8240800864279557,1.70840372134967,231795030.5399935,0.5194805194805194,0.4805194805194805,0.129342229406316,3.4285714285714284,3.0,7.0,14,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_accel_new_high_inst_k3_ls02_20260618_221735,0.924103357874485
signal_event_rotation_sev_qavg_cross_up_smart_k3_ls05,sev_qavg_cross_up_smart_k3_ls05,qavg,cross_up,smart,k3,ls05,0.24791871959566802,-0.5924536734291656,0.8493894716087735,2.9318349661357788,462380878.59666586,0.5324675324675324,0.4935064935064935,0.3041661243942417,7.178403755868545,7.0,12.0,19,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_qavg_cross_up_smart_k3_ls05_20260618_215957,0.9223194801832091
signal_event_rotation_sev_qavg_reclaim_foreign_breadth_ls07,sev_qavg_reclaim_foreign_breadth_ls07,qavg,reclaim,foreign,breadth,ls07,0.2576553853457788,-0.5608993356876246,0.8562340842383948,3.0887885201331198,511632442.9600967,0.5714285714285714,0.44155844155844154,0.3203665468008554,11.81542699724518,10.0,22.0,52,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_qavg_reclaim_foreign_breadth_ls07_20260618_220413,0.9144569387547767
signal_event_rotation_sev_op12_cross_up_inst_k1_ls07,sev_op12_cross_up_inst_k1_ls07,op12,cross_up,inst,k1,ls07,0.2818922398913637,-0.5621869627216425,0.7928214006477627,3.6033836579303333,616274146.7646444,0.5714285714285714,0.4805194805194805,0.3408713593307418,3.8986486486486487,4.0,6.0,8,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_op12_cross_up_inst_k1_ls07_20260618_220520,0.907828318504279
signal_event_rotation_sev_blend_cross_up_retail_contra_breadth_ls07,sev_blend_cross_up_retail_contra_breadth_ls07,blend,cross_up,retail_contra,breadth,ls07,0.21576449185682733,-0.5528205331148753,0.7932089703010375,2.3625496807459077,342298089.54099375,0.5324675324675324,0.5324675324675324,0.3255929204904071,17.100948509485097,16.0,31.0,81,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_blend_cross_up_retail_contra_breadth_ls07_20260618_221047,0.9072222313879201
signal_event_rotation_sev_blend_reclaim_inst_breadth_ls03,sev_blend_reclaim_inst_breadth_ls03,blend,reclaim,inst,breadth,ls03,0.20702133573514225,-0.46119635208659016,0.7883640040086468,2.187648683010623,395460913.1334418,0.5454545454545454,0.42857142857142855,0.2403823034157326,12.663686382393397,11.0,24.700000000000045,77,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_blend_reclaim_inst_breadth_ls03_20260618_221435,0.9026648403746944
signal_event_rotation_sev_qavg_reclaim_foreign_k3_ls05,sev_qavg_reclaim_foreign_k3_ls05,qavg,reclaim,foreign,k3,ls05,0.2774508360084096,-0.6516765381255374,0.8842787141951217,3.502491830417884,615977518.6822574,0.4935064935064935,0.45454545454545453,0.2956535917305384,5.267906336088155,5.0,9.0,19,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_qavg_reclaim_foreign_k3_ls05_20260618_220411,0.890685068690814
signal_event_rotation_sev_blend_reclaim_smart_k3_ls07,sev_blend_reclaim_smart_k3_ls07,blend,reclaim,smart,k3,ls07,0.2555502340961495,-0.5924247118904118,0.8371325755543026,3.0650773768756663,849224818.2677912,0.5584415584415584,0.4675324675324675,0.32930540408425046,5.834705075445816,5.0,10.0,18,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_blend_reclaim_smart_k3_ls07_20260618_221412,0.8854642142714453
signal_event_rotation_sev_accel_new_high_inst_breadth_ls03,sev_accel_new_high_inst_breadth_ls03,accel,new_high,inst,breadth,ls03,0.16876599933900072,-0.5018121471689303,0.805677275078469,1.6177134380677347,230708563.141075,0.5324675324675324,0.44155844155844154,0.13961743758221978,10.598382749326145,8.0,21.0,82,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_accel_new_high_inst_breadth_ls03_20260618_221736,0.8792852094114261
signal_event_rotation_sev_eps_op_accel_smart_breadth_ls07,sev_eps_op_accel_smart_breadth_ls07,eps_op,accel,smart,breadth,ls07,0.21597951651821612,-0.5667156885403952,0.8032654576916158,2.329512807727391,413661375.83103585,0.5324675324675324,0.4935064935064935,0.28821718584518974,12.127272727272727,11.0,22.0,66,/Users/bkchoi/shquants/results/backtests/signal_event_rotation_sev_eps_op_accel_smart_breadth_ls07_20260618_221948,0.8739814827146327
