strategy_id,score_mode,event_mode,flow_gate,construction_mode,cagr,mdd,sharpe,beats_rrg,total_return,final_equity,monthly_win_rate,monthly_bm_win_rate,avg_turnover,avg_total_count,median_total_count,p90_total_count,max_total_count
rrgi_op12_price_turn_retail_contra_qavg_x128,op12,price_turn,retail_contra,qavg_x128,0.1152435456948655,-0.19835337774142747,0.8092466877953205,False,0.9602038560834856,196020385.60834855,0.5584415584415584,0.4935064935064935,0.11944224640529157,4.588805970149254,4.0,9.0,25
rrgi_blend_price_turn_retail_contra_qavg_x128,blend,price_turn,retail_contra,qavg_x128,0.1152435456948655,-0.19835337774142747,0.8092466877953205,False,0.9602038560834856,196020385.60834855,0.5584415584415584,0.4935064935064935,0.11944224640529157,4.588805970149254,4.0,9.0,25
rrgi_accel_price_turn_retail_contra_qavg_x128,accel,price_turn,retail_contra,qavg_x128,0.1152435456948655,-0.19835337774142747,0.8092466877953205,False,0.9602038560834856,196020385.60834855,0.5584415584415584,0.4935064935064935,0.11944224640529157,4.588805970149254,4.0,9.0,25
rrgi_eps_op_price_turn_retail_contra_qavg_x128,eps_op,price_turn,retail_contra,qavg_x128,0.1152435456948655,-0.19835337774142747,0.8092466877953205,False,0.9602038560834856,196020385.60834855,0.5584415584415584,0.4935064935064935,0.11944224640529157,4.588805970149254,4.0,9.0,25
rrgi_qavg_op_lead_flow_breadth_op12_x105,qavg,op_lead,flow_breadth,op12_x105,0.10586020645600547,-0.3210500976392998,0.8084421827193526,False,0.8606220733815733,186062207.33815733,0.4935064935064935,0.36363636363636365,0.07176306205323264,5.079143389199255,4.0,11.0,22
rrgi_op12_op_lead_flow_breadth_op12_x105,op12,op_lead,flow_breadth,op12_x105,0.10586020645600547,-0.3210500976392998,0.8084421827193526,False,0.8606220733815733,186062207.33815733,0.4935064935064935,0.36363636363636365,0.07176306205323264,5.079143389199255,4.0,11.0,22
rrgi_blend_op_lead_flow_breadth_op12_x105,blend,op_lead,flow_breadth,op12_x105,0.10586020645600547,-0.3210500976392998,0.8084421827193526,False,0.8606220733815733,186062207.33815733,0.4935064935064935,0.36363636363636365,0.07176306205323264,5.079143389199255,4.0,11.0,22
rrgi_accel_op_lead_flow_breadth_op12_x105,accel,op_lead,flow_breadth,op12_x105,0.10586020645600547,-0.3210500976392998,0.8084421827193526,False,0.8606220733815733,186062207.33815733,0.4935064935064935,0.36363636363636365,0.07176306205323264,5.079143389199255,4.0,11.0,22
rrgi_eps_op_op_lead_flow_breadth_op12_x105,eps_op,op_lead,flow_breadth,op12_x105,0.10586020645600547,-0.3210500976392998,0.8084421827193526,False,0.8606220733815733,186062207.33815733,0.4935064935064935,0.36363636363636365,0.07176306205323264,5.079143389199255,4.0,11.0,22
rrgi_qavg_price_turn_retail_contra_qavg_x130,qavg,price_turn,retail_contra,qavg_x130,0.11623898715018455,-0.20143231774008075,0.8059087871786367,False,0.9710251541557067,197102515.41557068,0.5584415584415584,0.4935064935064935,0.12122299800412534,4.588805970149254,4.0,9.0,25
rrgi_op12_price_turn_retail_contra_qavg_x130,op12,price_turn,retail_contra,qavg_x130,0.11623898715018455,-0.20143231774008075,0.8059087871786367,False,0.9710251541557067,197102515.41557068,0.5584415584415584,0.4935064935064935,0.12122299800412534,4.588805970149254,4.0,9.0,25
rrgi_blend_price_turn_retail_contra_qavg_x130,blend,price_turn,retail_contra,qavg_x130,0.11623898715018455,-0.20143231774008075,0.8059087871786367,False,0.9710251541557067,197102515.41557068,0.5584415584415584,0.4935064935064935,0.12122299800412534,4.588805970149254,4.0,9.0,25
rrgi_accel_price_turn_retail_contra_qavg_x130,accel,price_turn,retail_contra,qavg_x130,0.11623898715018455,-0.20143231774008075,0.8059087871786367,False,0.9710251541557067,197102515.41557068,0.5584415584415584,0.4935064935064935,0.12122299800412534,4.588805970149254,4.0,9.0,25
rrgi_eps_op_price_turn_retail_contra_qavg_x130,eps_op,price_turn,retail_contra,qavg_x130,0.11623898715018455,-0.20143231774008075,0.8059087871786367,False,0.9710251541557067,197102515.41557068,0.5584415584415584,0.4935064935064935,0.12122299800412534,4.588805970149254,4.0,9.0,25
rrgi_qavg_price_turn_retail_contra_qavg_x132,qavg,price_turn,retail_contra,qavg_x132,0.11721213608990011,-0.20450942953140516,0.8025460835595903,False,0.9816524577753338,198165245.77753338,0.5584415584415584,0.4935064935064935,0.12300249633799688,4.588805970149254,4.0,9.0,25
rrgi_op12_price_turn_retail_contra_qavg_x132,op12,price_turn,retail_contra,qavg_x132,0.11721213608990011,-0.20450942953140516,0.8025460835595903,False,0.9816524577753338,198165245.77753338,0.5584415584415584,0.4935064935064935,0.12300249633799688,4.588805970149254,4.0,9.0,25
rrgi_blend_price_turn_retail_contra_qavg_x132,blend,price_turn,retail_contra,qavg_x132,0.11721213608990011,-0.20450942953140516,0.8025460835595903,False,0.9816524577753338,198165245.77753338,0.5584415584415584,0.4935064935064935,0.12300249633799688,4.588805970149254,4.0,9.0,25
rrgi_accel_price_turn_retail_contra_qavg_x132,accel,price_turn,retail_contra,qavg_x132,0.11721213608990011,-0.20450942953140516,0.8025460835595903,False,0.9816524577753338,198165245.77753338,0.5584415584415584,0.4935064935064935,0.12300249633799688,4.588805970149254,4.0,9.0,25
rrgi_eps_op_price_turn_retail_contra_qavg_x132,eps_op,price_turn,retail_contra,qavg_x132,0.11721213608990011,-0.20450942953140516,0.8025460835595903,False,0.9816524577753338,198165245.77753338,0.5584415584415584,0.4935064935064935,0.12300249633799688,4.588805970149254,4.0,9.0,25
rrgi_qavg_vol_break_smart_accel_op12_x100,qavg,vol_break,smart_accel,op12_x100,0.08341173334127605,-0.16704296621747472,0.8025327403428479,False,0.6394500907723875,163945009.07723874,0.5714285714285714,0.45454545454545453,0.06932806264758586,3.664011585807386,3.0,7.0,16
rrgi_op12_vol_break_smart_accel_op12_x100,op12,vol_break,smart_accel,op12_x100,0.08341173334127605,-0.16704296621747472,0.8025327403428479,False,0.6394500907723875,163945009.07723874,0.5714285714285714,0.45454545454545453,0.06932806264758586,3.664011585807386,3.0,7.0,16
rrgi_blend_vol_break_smart_accel_op12_x100,blend,vol_break,smart_accel,op12_x100,0.08341173334127605,-0.16704296621747472,0.8025327403428479,False,0.6394500907723875,163945009.07723874,0.5714285714285714,0.45454545454545453,0.06932806264758586,3.664011585807386,3.0,7.0,16
rrgi_accel_vol_break_smart_accel_op12_x100,accel,vol_break,smart_accel,op12_x100,0.08341173334127605,-0.16704296621747472,0.8025327403428479,False,0.6394500907723875,163945009.07723874,0.5714285714285714,0.45454545454545453,0.06932806264758586,3.664011585807386,3.0,7.0,16
rrgi_eps_op_vol_break_smart_accel_op12_x100,eps_op,vol_break,smart_accel,op12_x100,0.08341173334127605,-0.16704296621747472,0.8025327403428479,False,0.6394500907723875,163945009.07723874,0.5714285714285714,0.45454545454545453,0.06932806264758586,3.664011585807386,3.0,7.0,16
